licence number,establishment name,location address line 1,location address line 2,location address city,location postal code,licence type,licence sub type,capacity
7755,Chameleon Hotel,330 Columbia Avenue,,CASTLEGAR,V1N1G5,Liquor Primary,,257
305266,Chameleon Restaurant,330 Columbia Ave,,CASTLEGAR,V1N1G5,Food Primary,,99
303572,Chameleons,#3 - 220 Island Hwy West,,PARKSVILLE,V9P2P3,Food Primary,,74
302041,Chamnamoo Korean Restaurant,17-20349 88 Ave.,,LANGLEY,V1M2K5,Food Primary,,40
307234,Champagne Lounge,1161 West Georgia Street,(Upper Lobby on Ground Floor),VANCOUVER,V6E0C6,Liquor Primary,,141
148568,Champion Lakes Golf & Country Club,111 Champion Parks Road,,FRUITVALE,V0G1L0,Liquor Primary,,1
162268,Champion Lakes Golf & Country Club,111 Champion Parks Road,,FRUITVALE,V0G1L0,Food Primary,,120
162226,Chan's Garden Chinese and Western Restaurant,441 E  COLUMBIA ST,,NEW WESTMINSTER,V3L3X4,Food Primary,,152
302681,Chances,151 St. Ann's Road,,CAMPBELL RIVER,V9W4C5,Liquor Primary,,649
304953,Chances Abbotsford,30835 Peardonville Road,,ABBOTSFORD,V2T6K9,Liquor Primary,,420
138146,Chances Courtenay,361 Hunt Road,,COURTENAY,V9N9B8,Liquor Primary,,691
305615,Chances Cowichan,436 Cowichan Way,,DUNCAN,V9L0B2,Liquor Primary,,1419
306521,Chances Gaming Centre,300 10th Street SW,,SALMON ARM,V1E1T1,Liquor Primary,,807
302314,Chances Gaming Entertainment,1250 Halston Avenue,,KAMLOOPS,V2B7L3,Liquor Primary,,900
301362,Chances Gaming Entertainment,1585 Springfield Rd,,KELOWNA,V1Y5V5,Liquor Primary,,1064
302064,Chances Gaming Entertainment Dawson Creek,400 Highway No. 2,,DAWSON CREEK,V1G4N9,Liquor Primary,,773
305647,Chances Maple Ridge,22710 Lougheed Hwy,,MAPLE RIDGE,V2X2V3,Liquor Primary,,789
304204,Chances Mission,7178 Horne Street,,MISSION,V2V3X8,Liquor Primary,,675
302817,Chances Prince Rupert,240 1st Ave ,,PRINCE RUPERT,V8J1A8,Food Primary,,688
302697,Chances Prince Rupert,240 1st Avenue West,,PRINCE RUPERT,V8J1A8,Liquor Primary,,370
301740,Chances Signal Point Gaming,1640 Broadway Avenue South,,WILLIAMS LAKE,V2G2W4,Liquor Primary,,910
304024,Chances Squamish,9000 Valley Drive,,SQUAMISH,V8B0B3,Liquor Primary,,350
302376,Chances Terrace,4410 Legion Avenue,,TERRACE,V8G1N6,Liquor Primary,,425
308489,Chancho,560 Davie Street,,VANCOUVER,V6B2G4,Food Primary,,44
305607,Chang'an,100 - 1661 Granville Street,,VANCOUVER,V6Z1N3,Food Primary,,184
304709,Chantana's Thai Restaurant,#17 - 11852 HWY 97 N,,WINFIELD,V4V1E3,Food Primary,,22
305937,Char's Landing,4815 Argyle St,,PORT ALBERNI,V9Y1V9,Liquor Primary,,176
192857,Character's Liquor Store,2509 Pauline St,,ABBOTSFORD,V2S3S1,Licensee Retail Store,,
195232,Character's Liquor Store,8559 YOUNG RD,,CHILLIWACK,V2P4P2,Licensee Retail Store,,
209274,Character's Pub & Grill,8559 Young Road,,CHILLIWACK,V2P4P2,Liquor Primary,,128
303928,Charcoal & Woodz,102-17530 64th Ave,,SURREY,V3S1Y9,Food Primary,,179
301344,Charcoal Grill Diner Zakkushi,#1-823 Denman Street,,VANCOUVER,V6G2L7,Food Primary,,34
308509,Charisma Cafe & Dessert House,101-181 Keefer Pl,,VANCOUVER,V6B6C1,Food Primary,,72
100238,Charles Dickens Pub,2280 Beacon Avenue,,SIDNEY,V8L1X1,Liquor Primary,,152
12147,Charles Hotel,48115 Trans Canada Hwy,,BOSTON BAR,V0K1C0,Liquor Primary,,107
74774,Charles Hotel,48115 Trans Canada Hwy,,BOSTON BAR,V0K1C0,Food Primary,,170
185704,Charlie Hamilton's Pub,1031-1037  1163 Pinetree Way,,COQUITLAM,V3B8A9,Liquor Primary,,60
195431,Charlie Lake Liquor Store,1 & 2 13091 Nielson Ave,,CHARLIE LAKE,V0C1H0,Licensee Retail Store,,
304148,Charlies Mexican Restaurant,2517 St. Johns St.,,PORT MOODY,V3H2B3,Food Primary,,34
306959,Charlotte & The Quail,505 Quayle Rd.,,VICTORIA,V9E2J7,Food Primary,,76
302766,Charqui,1955 Cornwall Ave,,VANCOUVER,V6J1C9,Food Primary,,54
305693,Charters Restaurant,1650 Delkatla St,,MASSET,V0T1M0,Food Primary,,38
300286,Charton-Hobbs Inc.,,,,,Agent,,
301747,Chartreuse Moose Capuccino Bar & Bistro,162 Birch Ave,,100 MILE HOUSE,V0K2E0,Food Primary,,62
135632,Chasters ,1532 OCEAN BEACH ESPLANADE,,GIBSONS,V0N1V5,Food Primary,,251
201097,Chateau Big White,5335 BIG WHITE RD,,BIG WHITE,V1X4K5,Food Primary,,117
202510,Chateau Big White,5335 BIG WHITE RD,,BIG WHITE,V1X4K5,Liquor Primary,,43
2139,Chateau Victoria Hotel,740 Burdett Ave,,VICTORIA,V8W1B2,Liquor Primary,,119
90377,Chateau Victoria Hotel,740 Burdett Ave,,VICTORIA,V8W1B2,Food Primary,,215
306129,Chateau Wolff Estates,2534 Maxey Road,,NANAIMO,V9S5V6,Manufacturer,Winery,0
308635,Chatters Pizzeria & Bistro,3847 - 4th Avenue,,SMITHERS,V0J2N0,Food Primary,,30
305035,Chau Veggie Express,5052 Victoria Drive,,VANCOUVER,V5P3T8,Food Primary,,60
304691,Cheaky's Cafe,1035 Legacy Way,,WHISTLER,V0N1B1,Food Primary,,16
145971,Cheam Mountain Golf Course,44610 Luckakuck Way,,CHILLIWACK,V2R4A7,Food Primary,,190
151021,Cheam Mountain Golf Course,44610 Luckakuck Way,,CHILLIWACK,V2R4A7,Liquor Primary,,2
300137,Checkmate Artisanal Winery,4799 Wild Rose Street,,OLIVER,V0H1T0,Manufacturer,Winery,0
19556,Cheers Country Pub,2351 Church Street,,VANDERHOOF,V0J3A0,Liquor Primary,,203
192048,Cheers Liquor Store,112 1st St E,,REVELSTOKE,V0E2S0,Licensee Retail Store,,
195366,Cheers Liquor Store,1925 Laforme Blvd,,REVELSTOKE,V0E2S0,Licensee Retail Store,,
130456,Cheetahs Show Lounge,220 LAWRENCE AVE,,KELOWNA,V1Y6L3,Liquor Primary,,200
306772,Chef Abhi's Classic Indian Cuisine,4055 Motz Rd.,,TERRACE,V8G3N1,Food Primary,,60
304255,Chef Hung Kerrisdale,2028 West 41st Avenue,,VANCOUVER,V6M1Y8,Food Primary,,64
304931,Chef Hung Taiwanese Beef Noodle,1560 Marine Dr,,WEST VANCOUVER,V7V1H8,Food Primary,,77
308539,Chef Hung Taiwanese Beef Noodle ,# 2800 - 4151 Hazelbridge Way ,,RICHMOND,V6X4J7,Food Primary,,94
306000,Chef Pin,108-8571 Alexandra Rd,,RICHMOND,V6X1C3,Food Primary,,52
305793,Chef Tony,101 - 4600 No. 3 Rd,,RICHMOND,V6X2C2,Food Primary,,250
305273,Chef's Kebab,16225A Fraser Hwy,,SURREY,V4N0G1,Food Primary,,24
307380,Chef's Playground Eatery,170 - 12420 No. 1 Rd,,RICHMOND,V7E6N2,Food Primary,,30
303370,Cheng Du Spicy Restaurant,#6 - 4300 Kingsway ,,BURNABY,V5H1Z8,Food Primary,,50
168757,Cheng Du Xiao Chi,150 4160 NO  3 RD,,RICHMOND,V6X2C2,Food Primary,,74
304743,Chengdu Noodle House,130-8033 Saba Rd,,RICHMOND,V6Y4M8,Food Primary,,46
303774,Chengdu Spicy Restaurant,8391 Alexander Road,Unit #2150,RICHMOND,V6X3W5,Food Primary,,58
307788,Cherish at Central Park,917 Avrill Rd,,VICTORIA,V9B0T2,Food Primary,,474
305732,Cherry Creek Estate,8285 Olsen Rd,,KIMBERLEY,V1C4X8,Food Primary,,150
307634,Cherry Park,317 Winnipeg St,,PENTICTON,V2A8J9,Food Primary,,362
300146,Cherry Point Vineyards,840 Cherry Point Road,,COBBLE HILL,V0R1L3,Manufacturer,Winery,0
302088,Cherry Point Vineyards Bistro,840 Cherry Point Road,,COBBLE HILL,V0R1L3,Food Primary,,231
303104,Cherry's Food House,1015-8580 Alexandra Rd.,,RICHMOND,V6X4B3,Food Primary,,59
180093,Chettinad Dosa King,8239 120 St,,DELTA,V4C6R1,Food Primary,,66
305196,Chettinad Dosa Palace,5081 Canada Way,,BURNABY,V5E3N1,Food Primary,,50
308047,Chewie's Biscuit Co.,2822 West 4th Ave,,VANCOUVER,V6K1R2,Food Primary,,32
304724,Chewies,2201 1st Ave W,,VANCOUVER,V6K1E9,Food Primary,,100
305686,Chewies Steam and Oyster Bar,110- 1055 Hastings St W,,VANCOUVER,V6E2E9,Food Primary,,212
303884,Chez Meme Baguette Bistro,4016 Hastings St,,BURNABY,V5C2H9,Food Primary,,50
104913,Chi House,4063 Main St,,VANCOUVER,V5V3P5,Food Primary,,67
307130,Chi Modern Vietnamese Kitchen,1935 4th Ave W,,VANCOUVER,V6J1M7,Food Primary,,60
304158,Chi Noodle Bar ,6019 West Boulevard,,VANCOUVER,V6M3X2,Food Primary,,47
304236,Chi-Pan Cuisine,103 - 535 Yates St,,VICTORIA,V8W2Z6,Food Primary,,199
186740,Chiang Mai Orchid Restaurant,131 Hudson Ave. NE,BOX 542,SALMON ARM,V1E4N7,Food Primary,,100
302327,Chiang Rai Noodle House,1376 16th Ave,,CAMPBELL RIVER,V9W2E1,Food Primary,,42
300503,Chiba Sushi Japanese Restaurant,2706 Government St,,VICTORIA,V8T4R1,Food Primary,,94
306087,Chicanos Mexican Restaurante,269 Barlow Ave,,QUESNEL,V2J3K2,Food Primary,,50
307596,Chicken 649,2224 Quadra Street,,VICTORIA,V8T4C6,Food Primary,,20
308559,Chicken Winner,180 - 7771 Westminster Highway,,RICHMOND,V6X1A4,Food Primary,,106
301426,Chickpea,4298 Main Street,,VANCOUVER,V5V3P9,Food Primary,,70
305765,Chili House Restaurant,19571 Fraser Hwy,,SURREY,V3S6K7,Food Primary,,54
177211,Chili Lee Szechuan Cuisine,1927 Lonsdale Ave,,NORTH VANCOUVER,V7M2K3,Food Primary,,40
154420,Chili Pepper House,1 - 3003 KINGSWAY,,VANCOUVER,V5R5J6,Food Primary,,57
216915,Chilies Thai Cuisine,46212 Yale Rd E,,CHILLIWACK,V2P2P3,Food Primary,,79
36001,Chillibowl (La Cantina),45916 Wellington Ave,,CHILLIWACK,V2P2C7,Liquor Primary,,115
307508,Chilliwack Airport Restaurant,46244 Airport Road,,CHILLIWACK,V2P1A5,Food Primary,,175
304298,Chilliwack Cultural Centre,9201 Corbould Street,,CHILLIWACK,V2P4A6,Liquor Primary,,1558
49732,Chilliwack Golf & Country Club,41894 Yale Rd  W  RR  1,,CHILLIWACK,V2R4J3,Liquor Primary,Club,206
146576,Chilliwack Golf & Country Club,41894 Yale Rd  W  RR  1,,CHILLIWACK,V2R4J3,Food Primary,,560
300943,Chilliwack Heritage Park,44140 Luckakuck Way,,CHILLIWACK,V2R4A7,Liquor Primary,,2160
308660,Chilliz Fried Chicken and Tacos,6 - 8808 96A Street,,FORT ST. JOHN,V1J6E2,Food Primary,,47
38914,Chilly & Dancer Pub ,874 Tsimshian Boulevard,,KITIMAT,V8C1T5,Liquor Primary,,227
184061,Chimac Korean Pub & Fried Chicken ,512 YATES ST,,VICTORIA,V8W1K8,Food Primary,,40
308858,Chimec,835 Denman St,,VANCOUVER,V6G2L7,Food Primary,,17
301086,China Bowl,#106 - 4061 200th. St.,,LANGLEY,V3A1K8,Food Primary,,35
300611,China Cup Buffet,Parkwood Place,121-1600 15th Ave,PRINCE GEORGE,V2L3X3,Food Primary,,300
114440,China Moon Restaurant,117 Highway  16,,BURNS LAKE,V0J1E0,Food Primary,,100
133808,China Palace Restaurant,1933 Main Street,,PENTICTON,V2A5H5,Food Primary,,135
300477,China Taste Restaurant,3601 MASSEY DR,,PRINCE GEORGE,V2N4E6,Food Primary,,88
212638,China Wok,3102 30 Ave,,VERNON,V1T2C2,Food Primary,,80
307740,Chinatown BBQ,130 Pender St E,,VANCOUVER,V6A1T3,Food Primary,,60
92877,Chinese Palace Restaurant,22528 LOUGHEED HWY,,MAPLE RIDGE,V2X2V1,Food Primary,,114
177489,Chinook Princess,606 CAMPBELL ST,Dock A - Berth A1,TOFINO,V0R2Z0,Liquor Primary,,36
307662,Chipotle Mexican Grill,100-532 Broadway W,,VANCOUVER,V5Z1E9,Food Primary,,60
306858,Chipotle Mexican Grill,1005-10355 152 St,,SURREY,V3R7C1,Food Primary,,85
307124,Chipotle Mexican Grill,110 - 19898 Langley Bypass,,LANGLEY,V3A4Y1,Food Primary,,50
306315,Chipotle Mexican Grill,2200 - 4700 Kingsway,,BURNABY,V5H4M1,Food Primary,,50
305502,Chipotle Mexican Grill,818 Howe St.,,VANCOUVER,V6Z1N4,Food Primary,,95
307359,Chipotle Mexican Grill ,879 Park Royal N ,,WEST VANCOUVER,V7T1H9,Food Primary,,80
308818,Chirpyhut Fried Chicken,130-3471 No. 3 Rd.,,RICHMOND,V6X2B8,Food Primary,,34
308753,Chit Chat Burger Bar,955 Granville St,,VANCOUVER,V6Z1L3,Food Primary,,92
308015,Chitos,160-20330 88 Ave,,LANGLEY,V1M2Y4,Food Primary,,38
305201,Chon Tong Thai Restaurant,10153 Resthaven Drive,(Entrance on Malaview Avenue),SIDNEY,V8L3G8,Food Primary,,10
179727,Chong Qing Qin Ma Hot Pot,4992 NEWTON ST,,BURNABY,V5H1T4,Food Primary,,50
73519,Chong Qing on Commercial ,2808 COMMERCIAL DR,,VANCOUVER,V5N4C5,Food Primary,,120
303008,Chong Qing on Robson ,1260 Robson St,,VANCOUVER,V6E1C1,Food Primary,,50
307276,Chongqing Liuyishou Hot Pot,5507 Kingsway,,BURNABY,V5H2G3,Food Primary,,79
306728,Chongqing Restaurant on 120th,8220 120th Street,,SURREY,V3W3N4,Food Primary,,216
304750,Chongqing on Kingsway,4909 Kingsway,,BURNABY,V5H2E5,Food Primary,,50
300533,Chop Suey Kitchen,426 Enterprise Avenue,,KITIMAT,V8C2E2,Food Primary,,64
307623,Chopstick Corner,100-2982 152 Street,,SURREY,V4P3N7,Food Primary,,24
306257,Chopsticks,34 - 10071 Main St,,WINFIELD,V4V1P6,Food Primary,,130
301858,Chopsticks,789 Columbia Ave,,CASTLEGAR,V1N1H1,Food Primary,,95
305191,Chopsticks on Pho,101 - 15325  56th Ave,,SURREY,V3S0X9,Food Primary,,53
305125,Chorizo & Co.,807 Fort St.,,VICTORIA,V8W1H6,Food Primary,,47
116578,Chosun Korean Restaurant,3486 Kingsway,,VANCOUVER,V5R5L6,Food Primary,,81
120584,Christie's Carriage House Pub & Restaurant,1739 Fort Street,,VICTORIA,V8R1J3,Liquor Primary,,85
170347,Christie's Carriage House Pub & Restaurant,1739 Fort Street,,VICTORIA,V8R1J3,Food Primary,,50
27939,Christina Lake Golf & Country Club,230 - 2nd Avenue,,CHRISTINA LAKE,V0H1E0,Liquor Primary,,2
160130,Christina Lake Golf & Country Club,230 - 2nd Avenue,,CHRISTINA LAKE,V0H1E0,Food Primary,,200
300270,Christopher Stewart Wine & Spirits Inc.,,,,,Agent,,
304767,Chronic Tacos,110 - 66 Tenth St.,,NEW WESTMINSTER,V3M3X3,Food Primary,,50
304155,Chronic Tacos,16 601 Cordova St. W.,,VANCOUVER,V6B1G1,Food Primary,,45
300074,Chuan BBQ Restaurant,8291 Westminster Hwy,Unit #130,RICHMOND,V6X1A7,Food Primary,,55
304323,Chuan Chu Ren Jia Restaurant,6408 Kingsway,,BURNABY,V5E1C5,Food Primary,,70
187654,Chubby Funsters,112 Mackenzie Avenue,,REVELSTOKE,V0E2S0,Food Primary,,142
301475,Chuck E. Cheese's,406 - 6339  200th St,,LANGLEY,V2Y1A2,Food Primary,,195
308133,Chuck's Burger Bar ,538 Yates St,,VICTORIA,V8W1K8,Food Primary,,119
305950,Chuihong,105-15976 108 Ave,,SURREY,V4N5V6,Food Primary,,30
153033,Chumley's Restaurant,411 Broadway Street,,NAKUSP,V0G1R0,Food Primary,,65
175209,Chuncheon Dakgalbi Restaurant,3017 St. Johns St,,PORT MOODY,V3H2C4,Food Primary,,100
300190,Church & State Wines,1445 Benvenuto Road,,BRENTWOOD BAY,V8M1J5,Manufacturer,Winery,0
304011,Church & State Wines (Black Sage),31120 87th Street,,OLIVER,V0H1T0,Manufacturer,Winery,0
303611,Church & State Wines Inc.,31078 Highway # 97,,OLIVER,V0H1T0,Manufacturer,Winery,0
308441,Church St Taphouse,215 Church St,,COMOX,V9M1X7,Liquor Primary,,175
306651,Church Street Woodfired Pizza,221A-B Church St,,COMOX,V9M1X7,Food Primary,,60
305976,Church and State Wines,1445 Benvenuto Ave,,BRENTWOOD BAY,V8M1J5,Food Primary,,334
133897,Chute Lake Lodge,RR  1,SITE 16 COMP  16,NARAMATA,V0H1N0,Food Primary,,90
43992,Chutney Villa,147 E Broadway,,VANCOUVER,V5T1W1,Food Primary,,58
308537,Chutneys Indian Grill ,Unit 125 - 16120 24 Ave. ,,SURREY,V3Z0R5,Food Primary,,30
306420,Ciao Bella Winery,3252 Glencoe Road,,West Kelowna,V4T1M2,Manufacturer,Winery,0
124820,Cibo & Vines,5842B Beach Ave,,PEACHLAND,V0H1X7,Food Primary,,100
303060,Cibo Trattoria,900 Seymour Street,,VANCOUVER,V6B3L9,Food Primary,,64
302859,"Cicichin, Serghei",,,,,Agent,,
307901,Ciderworks ,529 Fulford-Ganges Road ,,SALT SPRING ISLAND,V8K2K1,Manufacturer,Winery,0
217746,Cielito Lindo Restaurant,20491 FRASER HWY,,LANGLEY,V3A4G3,Food Primary,,28
300458,Cilantro Indian Cuisine,14945 Marine Dr,,WHITE ROCK,V4B1C3,Food Primary,,92
211084,Cimo Mediterranean Grill,601 Victoria St,,PRINCE GEORGE,V2L2K3,Food Primary,,150
302665,Cindy's,1850 Marine Drive,,WEST VANCOUVER,V7V1J6,Food Primary,,38
304811,Cindys Palace Chinese Seafood Restaurant,1796 Nanaimo St,,VANCOUVER,V5N5B9,Food Primary,,159
158576,Cinema Public House,901 Granville Street ,,VANCOUVER,V6Z1L3,Liquor Primary,,50
215115,Cinema Restaurant,901 Granville Street,,VANCOUVER,V6Z1L3,Food Primary,,106
306667,Cineplex Cinemas Fifth Avenue,2110 Burrard Street,,VANCOUVER,V6J3H6,Liquor Primary,,849
308377,Cineplex Cinemas Park Royal ,3000 Park Royal South ,,WEST VANCOUVER,V7T2W4,Liquor Primary,,417
306823,Cineplex VIP,Level 6 - 452 S.W. Marine Drive,VIP Escalator on Level 3,VANCOUVER,V5X0C3,Liquor Primary,,556
105168,Citadella Restaurant,5067 Madsen Rd,,RADIUM HOT SPRINGS,V0A1M0,Food Primary,,80
183178,Citrus Bar and Grill,10410 - 158th St,,SURREY,V4N5C2,Food Primary,,104
304265,City Center Restaurant,1961 Douglas Street,,VICTORIA,V8T4K7,Food Primary,,330
192295,City Hall Liquor Store,A16- 7871 Stave Lake St,,MISSION,V2V1B5,Licensee Retail Store,,
195268,City Liquor Store,101 - 1505 Admirals Road,,VICTORIA,V9A2P8,Licensee Retail Store,,
306741,City Side Winery,328 West 2nd Avenue,,VANCOUVER,V5Y1C8,Manufacturer,Winery,0
125865,Clancy's Pub,333 Martin St,,PENTICTON,V2A5K7,Liquor Primary,,260
301363,"Clancy, Mark John & Clancy, Julia Frances (DBA: Madrona Wines)",,,,,Agent,,
308644,Clansey's,2024 Columbia Avenue,,ROSSLAND,V0G1Y0,Liquor Primary,,96
303529,Clarke & Co. ,1002 Blanshard St.,,VICTORIA,V8W2H5,Food Primary,,32
303486,Classic Wine Cellars,11161 84 Ave,#6,DELTA,V4C2K4,UBrew/UVin,,
207330,Classically Corked on Premise Winemaking,304 1194 Lansdowne Road,,COQUITLAM,V3E1J7,UBrew/UVin,,
160496,Clay Pot Restaurant,105 - 8291 Alexandra Rd,,RICHMOND,V6X1C3,Food Primary,,146
191016,Clayburn Liquor Store,150-3033 Immel Street,,ABBOTSFORD,V2S6S2,Licensee Retail Store,,
301605,Clayburn Village Tea Shop,34810 Clayburn Road,,ABBOTSFORD,V2S7Y9,Food Primary,,67
307535,Clayoquot Seaview Inn ,750 Campbell St,,TOFINO,V0R2Z0,Food Primary,,27
303526,Clayoquot Wilderness Resort The Outpost Camp,"District lot 451,Clayoquot District",Head of Bedwell Sound,TOFINO,V0R2Z0,Liquor Primary,,50
191719,Clayton Liquor Store,1 - 18710 Fraser Highway,,SURREY,V3S7Y4,Licensee Retail Store,,
308613,ClearCut Distilling Company,319 Sutil Road,,QUADRA ISLAND,V0P1N0,Manufacturer,Distillery,0
201736,Clearbrook Brewing Company,#1 - 3275 McCallum Road,,ABBOTSFORD,V2S7W5,UBrew/UVin,,
195280,Clearbrook Liquor Barn,30  31940 South Fraser Way,,ABBOTSFORD,V2T1V6,Licensee Retail Store,,
308872,Clearbrook Vineyards,1471 Clearbrook Road,,ABBOTSFORD,V2T5X2,Manufacturer,Winery,0
308027,Cliff and Gorge Vineyards,18450 Texas Creek Rd,,LILLOOET,V0K1V0,Manufacturer,Winery,0
187151,Cliffhanger Restaurant,1860 Greywolf Drive,,PANORAMA,V0A1T0,Food Primary,,150
308475,Cliffside Brewing Company,Unit O - 11 Cliff St.,,NANAIMO,V9R5E6,Manufacturer,Brewery,0
111653,Clinton Chinese Restaurant ,1525 Cariboo Highway,,CLINTON,V0K1K0,Food Primary,,82
301238,Clock Tower Coffee Co.,Big White Ski Resort,"Village Centre Mall, 5315 Big White Road ",KELOWNA,V1P1P3,Food Primary,,228
303565,Clos Du Soleil Winery,2568 Upper Bench Road,SS 4,KEREMEOS,V0X1N4,Manufacturer,Winery,0
308888,Cloud Cafe,15019 Marine Drive,,WHITE ROCK,V4B1C3,Food Primary,,
307581,Cloudburst Cafe/The Joinery/Locavore,1861 Mamquam Rd,,SQUAMISH,V8B0H5,Food Primary,,
308529,Cloudvision Holdings Inc.,,,,,Agent,,
304700,Clough Club,212 Abbott St.,,VANCOUVER,V6B2K8,Food Primary,,77
302696,"Cloutier, Alain DBA A&K La Boutique Du Vin",,,,,Agent,,
191727,Clover Crossing Liquor Store,413 - 6466  176th St,,SURREY,V3S4G3,Licensee Retail Store,,
304715,Clover Lanes 5 Pin Bowling,5814 176A Street,,SURREY,V3S4H5,Food Primary,,24
40939,Cloverdale Curling Club,6150 176th St,,SURREY,V3S4E7,Liquor Primary,Club,369
189631,Cloverdale Raceway,17740  62nd Avenue,,SURREY,V3S1W7,Food Primary,,70
35101,Cloverdale Rodeo and Exhibition Grounds,6050A  176th St,,SURREY,V3S4E7,Liquor Primary,,1254
35405,Cloverdale Rodeo and Exhibition Grounds,6050A  176th St,,SURREY,V3S4E7,Liquor Primary,,3978
195263,Cloverdale Station Liquor Store,5858 176 St,,SURREY,V3S4E2,Licensee Retail Store,,
122843,Club 23 West,23 W  Cordova St,,VANCOUVER,V6B1C8,Liquor Primary,,261
303735,Club Ilia Eatery & Lounge,8902 University High St.,,BURNABY,V5A4Y6,Food Primary,,150
101116,Club Shuswap Golf & R.V. Ltd.,5751 Trans Canada Hwy NE,,SALMON ARM,V0E1K0,Liquor Primary,,60
301053,Club Shuswap Golf & R.V. Ltd.,5751 Trans Canada Hwy NE,,SALMON ARM,V0E1K0,Food Primary,,78
308124,Clubone Cafe,1450-8260 Westminster Hwy,,RICHMOND,V6X3Y2,Food Primary,,110
307888,Cluxewe Waterfront Bistro,#1 Cluxewe Campground Rd.,,PORT MCNEILL,V0N2R0,Food Primary,,60
217992,Clyde's Pub,7248 2nd Street,,GRAND FORKS,V0H1H0,Liquor Primary,,125
195099,"Clydesdale Inn Beer, Wine & Liquor Store",17630 56th Avenue,,SURREY,V3V1V5,Licensee Retail Store,,
308181,Co'M ,120-7688 Alderbridge Way ,,RICHMOND,V6X0P7,Food Primary,,92
304962,Coach & Horses,321 Selby Street,,NANAIMO,V9R2R4,Food Primary,,168
120212,Coachman Inn (Victoria),229 Gorge Road East,,VICTORIA,V9A1L1,Liquor Primary,,118
139401,Coachman Inn (Victoria),229 Gorge Road East,,VICTORIA,V9A1L1,Food Primary,,310
195427,Coal Harbour Liquor Store,1218 West Pender St,,VANCOUVER,V6E2R1,Licensee Retail Store,,
301724,Coast & Country Diner,17608 56 Ave,,SURREY,V3S1C5,Food Primary,,50
108620,Coast Bastion Inn,11 Bastion St,,NANAIMO,V9R6E4,Liquor Primary,,68
108641,Coast Bastion Inn,11 Bastion St,,NANAIMO,V9R6E4,Food Primary,,901
6112,Coast Capri Hotel,1171 Harvey Ave,,KELOWNA,V1Y6E8,Food Primary,,1038
192808,Coast Capri Hotel,1171 Harvey Ave,,KELOWNA,V1Y6E8,Licensee Retail Store,,
137666,Coast Chilliwack Hotel,45920 First Avenue,,CHILLIWACK,V2P7K1,Food Primary,,517
143219,Coast Chilliwack Hotel,45920 First Avenue,,CHILLIWACK,V2P7K1,Liquor Primary,,37
303797,Coast Coal Harbour Hotel,1180 West Hastings St,,VANCOUVER,V6E4R5,Food Primary,,1234
145064,Coast Kamloops Hotel & Conference Centre,1250 Rogers Way,,KAMLOOPS,V1S1N5,Food Primary,,1645
153735,Coast Kamloops Hotel & Conference Centre,1250 Rogers Way,,KAMLOOPS,V1S1N5,Liquor Primary,,199
194978,Coast Kamloops Hotel & Conference Centre,1250 Rogers Way,,KAMLOOPS,V1S1N5,Licensee Retail Store,,
307019,Coast Mountain Brewing Company,2-1212 Alpha Lake Road,,WHISTLER,V0N1B1,Manufacturer,Brewery,0
104961,Coast Mountain College,5331 McConnell Ave,,TERRACE,V8G4X2,Food Primary,,368
300920,Coast Restaurant,1054 Alberni Street,,VANCOUVER,V6E1A3,Food Primary,,350
111323,Coast Vancouver Airport Hotel,1041 Marine Drive SW,,VANCOUVER,V6P6L6,Liquor Primary,,85
111339,Coast Vancouver Airport Hotel,1041 Marine Drive SW,,VANCOUVER,V6P6L6,Food Primary,,159
141384,Coast Victoria Harbourside Hotel,146 KINGSTON ST,,VICTORIA,V8V1V4,Food Primary,,472
142310,Coast Victoria Harbourside Hotel,146 KINGSTON ST,,VICTORIA,V8V1V4,Liquor Primary,,52
303719,Coastal Black Estate Winery ,2186 Endall Road,,BLACK CREEK,V9J1G8,Manufacturer,Winery,0
308477,Coastal Celebration - Pacific Buffet,Swartz Bay Terminal,11300 Patricia Bay Hwy,SIDNEY,V8L5J4,Food Primary,,186
304818,Coastal Cookery,4553A Marine Ave. ,,POWELL RIVER,V8A2K5,Food Primary,,85
33649,Cobalt Hotel,917 Main Street,,VANCOUVER,V6A2V8,Liquor Primary,,228
195339,Cobble Hill Liquor Plus,49 - 1400 Cowichan Bay Rd,,COBBLE HILL,V0R1L0,Licensee Retail Store,,
38301,Cobblestone Inn,3566 Holland Avenue,,COBBLE HILL,V0R1L0,Liquor Primary,,200
195269,Cobblestone Inn LRS,3566 Holland Avenue,,COBBLE HILL,V0R1L0,Licensee Retail Store,,
304095,Cobees Enterprise Ltd.,,,,,Agent,,
308732,Cochau Restaurant,522 6th Ave,,NEW WESTMINSTER,V3L1V3,Food Primary,,
120941,Cockney Kings Fish & Chips,6574 Hastings St,,BURNABY,V5B1S2,Food Primary,,60
130943,Cockney Kings Fish & Chips,Unit 130 - 66 Tenth St,,NEW WESTMINSTER,V3M3X3,Food Primary,,100
307000,Cockpit Cafe & Lounge,1-1055 Canada Place,,VANCOUVER,V6C0C3,Food Primary,,63
303330,Cocktails & Dreams Restaurant & Bar,9461-120th Street,,DELTA,V4C6S2,Food Primary,,96
173039,Coco Rico Cafe,1290 Robson Street,,VANCOUVER,V6E1C1,Food Primary,,50
